표준단어명,표준단어 설명
월평균사용여부,월평균 사용 여부
할당계수월평균배출량,할당 계수 월평균 배출량
사업장배출량증가비중,사업장 배출량 증가 비중
변동시설배출량증가비중,변동시설의 배출량 증가 비중
할당계수파일일련번호,할당 계수파일의 일련번호
통보설정명,통보 설정 이름
통보설정일련번호,통보 설정의 일련번호
시설할당량문서일련번호,시설 할당량 문서의 일련번호
업체할당량문서일련번호,업체 할당량 문서의 일련번호
시설이전통보문서일련번호,시설 이전의 통보문서의 일련번호
업체이전통보문서일련번호,업체 이전 통보문서의 일련번호
관계통보문서일련번호,관련 통보문서 일련번호
업체통보일련번호,업체 통보의 일련번호
시설할당량변동여부,시설 할당량 변동의 여부
업체할당량변동여부,업체 할당량 변동의 여부
이의신청가능여부,이의신청이 가능한지 여부
문서통보일자,문서를 통보한 날짜
문서통보여부,문서를 통보한지 여부
그룹통보문서일련번호,그룹 통보문서의 일련번호
이전통보문서일련번호,이전 통보문서의 일련번호
할당신규여부,할당 신규인지 여부
할당분할여부,할당 분할의 여부
통보포함여부,통보 포함한지 여부
통보유형코드설명,통보유형코드에 대한 설명
할당산정관리번호,할당 산정관리의 번호
할당경계구분명,할당 경계를 구분하는 이름
정보변경여부,정보를 변경한지 여부
량변경여부,량 변경된지 여부
도입일자,도입 일자
발생일자,발생한 날짜
감축실적신청량,감축 실적의 신청량
할당산정관리내용,할당 산정관리에 대한 내용
할당산정관리명,할당 산정관리의 이름
등록통보문서일련번호,등록통보문서의 일련번호
등록할당경계일련번호,등록할당경계의 일련번호
할당계수여부,할당 계수인지 여부
등록지정연도,등록지정한 연도
등록할당일련번호,등록할당의 일련번호
기타산정설명,기타 산정에 대한 설명
분할할당일련번호,분할 할당의 일련번호
등록사업장일련번호,등록 사업장의 일련번호
사용자URL주소,사람을 부리거나 물건을 쓰거나 할 때 컴퓨터 프로그램 등을 사용하는 사람의 URL 주소
수행쿼리내용,수행 쿼리에 대한 내용
수행일시,수행의 날짜와 시간 (형태 : YYYYMMDDHHMISS)
HWP파일생성성공여부,한글파일생성을 성공했는지 여부
분할보고서파일개수,분할 보고서의 파일 개수
PDF생성성공여부,PDF 생성이 성공했는지 여부
문서식별번호,문서를 식별하는 번호
사업장식별번호,사업장 식별번호
활동자료값,활동 자료값
시설식별번호,시설 식별번호
실행주기패턴명,실행주기의 패턴 이름
최종예약실행일시,최종 예약을 실행한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
최종실행일시,최종 실행한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
예약우선여부,예약 우선 여부
예약실행일시,예약 실행한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
예약일시,미리 약속한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
압축파일명,압축파일의 이름
법인상시직원수,법인상 직원의 수
배출시설코드명,배출시설의 코드 이름
배출시설일련번호,배출시설의 일련번호
사업장상시직원수,사업장 상시 직원의 수
사업장담당부서명,사업장 담당부서 이름
사업장담당자이메일주소,사업장 담당자의 이메일주소
사업장담당자명,사업장 담당자의 이름
사업장담당자전화번호,사업장 담당자 전화번호
사업장담당자직위명,사업장 담당자 직위의 이름
사업장도로명주소,사업장 도로명의 주소
소규모시설단위수,소규모 시설단위의 수
검증기관법인번호,검증기관의 법인번호
수량,수량
총량,총량
증기사용량,증기 사용량
바이오매스여부,바이오매스인지 여부
이행감축계획수,이행 감축 계획 수
실적비용절감금액,실적 비용절감의 금액
계획비용절감금액,계획 비용 절감 금액
육불화황값,육불화황값
수소불화탄소값,수소불화탄소의 값
활동자료단위코드명,활동자료단위의 코드 이름
관장기관신규명,관장 기관의 새로운 이름
실적투자비용합계금액,실적 투자비용 합계금액
계획투자비용합계금액,계획에 투자한 비용 합계금액
배출활동코드명,배출활동의 코드 이름
배출시설명,안에서 밖으로 밀어 내보내는 시설의 명
설문답변명,설문답변의 이름
검증심사자팀장명,검증 심사자 팀장의 이름
검증일자,검증한 날짜
검증보고서일련번호,검증 보고서의 일련번호
자동증가번호,자동 증가되는 번호
면담내용,면담한 내용
면담일자,면담한 날짜
면담자직위명,면담자 직위 이름
면담자부서명,면담자 부서이름
면담자명,면담하는 사람의 이름
면담상세일련번호,면담 상세 일련번호
담당자직위명,담당자의 직위 이름
자료상세자동증가번호,자료 상세 자동증가번호
심사자명,심사한 사람의 이름
배출원간접에너지여부,배출원 간접에너지인지 여부
사업장사무실여부,사업장 사무실인지 여부
사업장발전설비여부,사업장 발전설비의 여부
사업장생산설비여부,사업장 생산설비의 여부
사업장폐기처리시설여부,사업장 폐기처리시설인지 여부
배출원연료연소여부,배출원 연료연소의 여부
배출원공정배출여부,배출원 공정배출의 여부
배출원폐기소각여부,배출원 폐기소각의 여부
배출원여부,배출원의 여부
검증기관종료일자,검증기관이 종료된 날짜
검증기관시작일자,검증기관이 시작된 날짜
검증방식현장검증여부,검증방식의 현장검증의 여부
검증방식문서검토여부,검증방식의 문서검토했는지 여부
수행검증심사자전문분야명,수행 검증 심사한 사람의 전문분야 이름
심사자내용,심사자에 대한 내용
정정조치평가내용,정정 조치평가에 대한 내용
정정내용,정정한 내용
조치요구사항내용,조치 요구사항에 대한 내용
검증요청일련번호,검증 요청의 일련번호
대표검증기관여부,대표검증기관인지 여부
담당사업장일련번호비고,담당 사업장의 일련번호 비고
검증팀장여부,검증 팀장인지 여부
검증심사자일련번호,검증 심사자의 일련번호
기술전문가명,기술 전문가의 이름
직접배출량,직접 배출량
간접배출량,간접 배출량
소비총량,총 소비량
전기사용량,전기 사용량
실적검증첨부파일ID,실적 검증의 첨부파일 고유 체계
약식검증여부,약식 검증의 여부
검증요청번호,검증 요청번호
에너지사용목표재설정량,에너지 사용목표의 재설정량
온실가스배출목표재설정량,온실가스 배출목표 재설정량
평가연료환산량달성비율,평가 연료환산량 달성비율
평가온실가스배출량달성비율,평가 온실가스 배출량의 달성비율
평가연료환산량,평가 연료환산량
평가온실가스배출량,평가 온실가스의 배출량
폐기물소각열회수시설연료환산량,폐기물 소각열 회수시설의 연료환산량
폐기물소각열회수시설온실가스배출량,폐기물 소각열 회수시설의 온실가스배출량
전력생산량,전력 생산량
CDM시설연료환산량,온실가스 감축사업 제도 시설 연료 환산량
신증설시설연료환산량,신설 증설시설 연료환산량
신증설시설온실가스배출량,신설 증설시설 온실가스배출량
소량배출사업장연료환산량,소량 배출 사업장 연료환산량
소량배출사업장온실가스배출량,소량 배출 사업장 온실가스 배출량
상세검증내용,상세한 검증에 대한 내용
배출량차이값,배출량 차이값
검증이후배출량,검증 이후의 배출량
검증이전배출량,검증 이전의 배출량
검증배출량,검증 배출량
조치요구내용,조치 요구에 대한 내용
부적합여부,부적합인지 여부
검증심사자목록명,검증 심사자 목록 이름
검증문서일련번호,검증 문서의 일련번호
검증요청일자,검증 요청한 날짜
검증시작일자,검증이 시작된 날짜
검증종료일자,검증을 종료한 날짜
검증심사일자,검증 심사한 날짜
법인대표자명,법인의 최고 의사결정권자의 이름
담당자팩스번호,담당자 팩스번호
검증기관소재지명,검증기관 소재지 이름
기관검증코드목록명,기관검증코드의 목록 이름
현장검증여부,현장 검증을 했는지 여부
문서검토여부,문서 검토한지 여부
심사자ID,심사한 사람의 고유 체계
심사자ID목록명,심사자ID의 목록 이름
개선요구사항내용,개선요구사항에 대한 내용
조치결과내용,조기 결과에 대한 내용
조치결과평가내용,조치 결과평가에 대한 내용
미지정사항내용,미지정 사항에 대한 내용
중요도평가값,중요도 평가 값
비할당배출활동포함여부,비할당 배출활동에 포함됐는지 여부
CDM대상여부,온실가스 감축사업 제도 대상인지 여부
외부유입일련번호,외부 유입의 일련번호
검증코드목록명,검증코드의 목록 이름
모니터링계획서열람종료일자,모니터링 계획서 열람을 종료한 날짜
모니터링계획서열람시작일자,모니터링 계획서 열람을 시작한 날짜
검증의견내용,검증 의견에 대한 내용
검증항목내용,검증 항목에 대한 내용
검증내용,검증에 대한 내용
검증의견일련번호,검증 의견의 일련번호
분류코드설명,종류에 따라서 가른 코드 설명
분류코드명,종류에 따라서 가른 코드 명
코드ID설명,정보를 나타내기 위한 기호 체계의 ID 설명
코드ID명,정보를 나타내기 위한 기호 체계의 ID 명
가입일시,가입 날짜와 시간 (형태 : YYYYMMDDHHMISS)
